,Long,Lat,offence,occurrenceyear,occurrencemonth,occurrencehour,occurrencedayofweek,occurrencedayofweek_num
0,-79.380806,43.649894700000004,Assault,2015.0,12,21,Monday    ,2
1,-79.380806,43.649894700000004,Assault,2015.0,12,21,Monday    ,2
2,-79.380806,43.649894700000004,Assault,2015.0,12,21,Monday    ,2
3,-79.35975649999999,43.6507607,Assault,2015.0,12,13,Friday    ,6
4,-79.23728940000001,43.7366791,Assault,2015.0,12,16,Wednesday ,4
5,-79.56530759999998,43.7372398,Assault,2015.0,12,17,Wednesday ,4
6,-79.25352480000001,43.723880799999996,Robbery - Mugging,2015.0,11,15,Tuesday   ,3
7,-79.5949554,43.7360191,Robbery - Mugging,2015.0,10,21,Sunday    ,1
8,-79.20497890000001,43.7826042,Assault,2015.0,11,10,Wednesday ,4
9,-79.4798889,43.6486626,Robbery - Mugging,2015.0,10,23,Friday    ,6
10,-79.40270229999999,43.643928499999994,Robbery - Other,2015.0,12,3,Thursday  ,5
11,-79.3801956,43.6399651,Assault,2015.0,5,17,Tuesday   ,3
12,-79.43536379999999,43.644207,Assault,2015.0,6,16,Thursday  ,5
13,-79.3946838,43.6589546,Assault,2015.0,4,20,Thursday  ,5
14,-79.417511,43.659935,Assault,2015.0,12,0,Friday    ,6
15,-79.4901657,43.6964302,Assault,2015.0,8,8,Friday    ,6
16,-79.5551147,43.715107,Assault With Weapon,2015.0,8,19,Sunday    ,1
17,-79.5041504,43.6897736,Robbery - Mugging,2015.0,3,15,Friday    ,6
18,-79.4773407,43.6805687,Robbery - Swarming,2015.0,4,16,Thursday  ,5
19,-79.287796,43.67651370000001,Robbery - Mugging,2015.0,5,17,Thursday  ,5
20,-79.2587738,43.7360458,Robbery - Mugging,2015.0,5,16,Tuesday   ,3
21,-79.4505997,43.644126899999996,Robbery - Mugging,2015.0,7,18,Wednesday ,4
22,-79.4820709,43.726642600000005,Assault,2015.0,7,20,Sunday    ,1
23,-79.3314056,43.7183647,Robbery - Mugging,2015.0,8,17,Monday    ,2
